Volumes:

Instancias

Name 	 Flavor 	 Time
dfq-run-6 	lsd.t2.large 	0 Days, 0 Hours and 0 Seconds
dfq-work2 	lsd.t2.large 	0 Days, 0 Hours and 0 Seconds
dfq-work 	lsd.t2.large 	0 Days, 0 Hours and 0 Seconds
dfq-run-4 	lsd.t2.large 	0 Days, 0 Hours and 0 Seconds
dfq-run-1 	lsd.t2.large 	0 Days, 0 Hours and 0 Seconds
dfq-run-5 	lsd.t2.large 	0 Days, 0 Hours and 0 Seconds
dfq-run-2 	lsd.t2.large 	0 Days, 0 Hours and 0 Seconds
dfq-run-3 	lsd.t2.large 	0 Days, 0 Hours and 0 Seconds
dfq-run-8 	lsd.t2.large 	0 Days, 0 Hours and 0 Seconds
dfq-run-7 	lsd.t2.large 	0 Days, 0 Hours and 0 Seconds
