Volumes:
 450Gb
 300Gb

Instancias

Name 	 Flavor 	 Time
beta 	lsd.t2.large 	30 Days, 0 Hours and 0 Seconds
kafka-server03 	lsd.t2.large 	30 Days, 0 Hours and 0 Seconds
silvana 	lsd.t2.large 	30 Days, 0 Hours and 0 Seconds
gitlab-ci-runner 	lsd.t2.large 	8 Days, 7 Hours and 7 Seconds
temp-bd 	lsd.t2.large 	0 Days, 0 Hours and 31 Seconds
kafka-server01 	lsd.t2.large 	30 Days, 0 Hours and 0 Seconds
alpha 	lsd.t2.xlarge 	30 Days, 0 Hours and 0 Seconds
set-lsd 	lsd.t2.xlarge 	30 Days, 0 Hours and 0 Seconds
kafka-server02 	lsd.t2.large 	30 Days, 0 Hours and 0 Seconds
temp 	lsd.t2.large 	15 Days, 19 Hours and 42 Seconds
