Volumes:
osd2 40Gb
osd1 50Gb

Instancias

Name 	 Flavor 	 Time
kafka 	lsd.t1.medium 	2 Days, 2 Hours and 45 Seconds
K8s-misc-tests 	sgx-scalable.epc30.large 	2 Days, 6 Hours and 4 Seconds
clenimar-mdb-node-3 	sgx-scalable.epc30.large 	0 Days, 0 Hours and 0 Seconds
haproxy 	lsd.t1.small 	30 Days, 0 Hours and 0 Seconds
mdb-arch-3 	sgx.epc16.medium 	3 Days, 12 Hours and 14 Seconds
mariadb-shard-2 	sgx.epc16.medium 	1 Days, 5 Hours and 3 Seconds
kafka-mariadb3 	lsd.t1.medium 	7 Days, 20 Hours and 26 Seconds
mariadb-shard-1 	sgx.epc16.medium 	3 Days, 2 Hours and 56 Seconds
clenimar-maxscale-2 	sgx.epc16.medium 	4 Days, 21 Hours and 18 Seconds
proxysql-4 	lsd.t1.medium 	0 Days, 0 Hours and 0 Seconds
lucas-scaling-1 	lsd.t1.medium 	30 Days, 0 Hours and 0 Seconds
kafka-mariadb 	lsd.t1.medium 	8 Days, 23 Hours and 33 Seconds
clenimar-mdb-node-4 	sgx-scalable.epc30.large 	0 Days, 0 Hours and 0 Seconds
clenimar-mdb-node-1 	sgx-scalable.epc30.large 	0 Days, 0 Hours and 0 Seconds
mdb-shard-3 	sgx-scalable.epc30.large 	10 Days, 11 Hours and 55 Seconds
mariadb-shard-1 	sgx.epc16.medium 	1 Days, 5 Hours and 29 Seconds
mdb-haproxy-1 	lsd.t1.medium 	0 Days, 0 Hours and 0 Seconds
cas 	sgx.epc16.medium 	3 Days, 9 Hours and 22 Seconds
couchdb1 	lsd.t2.large 	3 Days, 20 Hours and 5 Seconds
mdb-arch-2 	sgx.epc16.medium 	3 Days, 12 Hours and 7 Seconds
clenimar-client-2 	lsd.t2.large 	0 Days, 0 Hours and 0 Seconds
mdb-arch-1 	sgx.epc16.medium 	3 Days, 12 Hours and 15 Seconds
benchmark-3 	lsd.t2.large 	30 Days, 0 Hours and 0 Seconds
mdb-bench-check 	sgx-scalable.epc30.large 	3 Days, 1 Hours and 57 Seconds
clenimar-mdb-node-5 	sgx-scalable.epc30.large 	0 Days, 0 Hours and 0 Seconds
mdb-max2 	sgx-scalable.epc30.large 	10 Days, 1 Hours and 52 Seconds
mdb-shard-4 	sgx-scalable.epc30.large 	10 Days, 11 Hours and 3 Seconds
clenimar-mdb-node-2 	sgx-scalable.epc30.large 	0 Days, 0 Hours and 0 Seconds
couchdb2 	lsd.t1.medium 	0 Days, 16 Hours and 13 Seconds
lucas-scaling-3 	lsd.t1.medium 	30 Days, 0 Hours and 0 Seconds
mdb-shard-4 	sgx-scalable.epc30.large 	20 Days, 10 Hours and 31 Seconds
maria-db4 	lsd.t2.large 	7 Days, 13 Hours and 53 Seconds
max-native 	lsd.t2.large 	9 Days, 22 Hours and 20 Seconds
lucas-scaling-2 	lsd.t1.medium 	30 Days, 0 Hours and 0 Seconds
benchmark-2 	lsd.t2.large 	30 Days, 0 Hours and 0 Seconds
benchmark-1 	lsd.t2.large 	30 Days, 0 Hours and 0 Seconds
mdb-shard-4 	sgx-scalable.epc30.large 	0 Days, 0 Hours and 12 Seconds
scontain-sshd 	lsd.t2.large 	30 Days, 0 Hours and 0 Seconds
max-scale 	sgx-scalable.epc30.large 	8 Days, 16 Hours and 43 Seconds
mariadb-shard-1 	sgx-scalable.epc30.large 	0 Days, 0 Hours and 0 Seconds
mariadb-shard-2 	sgx.epc16.medium 	0 Days, 0 Hours and 57 Seconds
mdb-max 	sgx-scalable.epc30.large 	10 Days, 11 Hours and 27 Seconds
clenimar-mdb-node-6 	sgx-scalable.epc30.large 	0 Days, 0 Hours and 0 Seconds
clenimar-maxscale 	sgx-scalable.epc30.large 	0 Days, 0 Hours and 0 Seconds
mariadb-shard-2 	sgx.epc16.medium 	3 Days, 2 Hours and 36 Seconds
kafka-mariadb2 	lsd.t1.medium 	7 Days, 20 Hours and 32 Seconds
icelake-benchmark-prep 	sgx-scalable.epc30.large 	1 Days, 3 Hours and 53 Seconds
clenimar-client-1 	lsd.t2.large 	0 Days, 0 Hours and 0 Seconds
mariadb-shard-2 	sgx-scalable.epc30.large 	0 Days, 0 Hours and 0 Seconds
mdb-haproxy-2 	lsd.t1.medium 	0 Days, 0 Hours and 0 Seconds
mdb-shard-2 	sgx-scalable.epc30.large 	10 Days, 11 Hours and 52 Seconds
mdb-shard-1 	sgx-scalable.epc30.large 	10 Days, 11 Hours and 51 Seconds
mariadb-5 	lsd.t1.tiny 	7 Days, 13 Hours and 54 Seconds
mariadb-shard-1 	sgx-scalable.epc30.large 	8 Days, 17 Hours and 42 Seconds
mariadb-shard-2 	sgx-scalable.epc30.large 	8 Days, 17 Hours and 44 Seconds
mariadb-shard-1 	sgx.epc16.medium 	0 Days, 0 Hours and 31 Seconds
mdb-haproxy-3 	lsd.t1.medium 	0 Days, 0 Hours and 0 Seconds
mdb-max3 	sgx-scalable.epc30.large 	8 Days, 11 Hours and 21 Seconds
