Volumes:

Instancias

Name 	 Flavor 	 Time
catalog-test 	lsd.t1.small 	0 Days, 0 Hours and 0 Seconds
saps-test 	lsd.t2.large 	9 Days, 1 Hours and 20 Seconds
worker-1 	lsd.t1.nano 	30 Days, 0 Hours and 0 Seconds
archiver-test 	lsd.t1.small 	0 Days, 0 Hours and 0 Seconds
worker-test 	lsd.t2.large 	8 Days, 5 Hours and 57 Seconds
dispatcher-test 	lsd.t1.small 	0 Days, 0 Hours and 0 Seconds
owncloud 	lsd.t2.large 	30 Days, 0 Hours and 0 Seconds
Iguassu Deploy 	lsd.t1.tiny 	30 Days, 0 Hours and 0 Seconds
saps-test 	lsd.t2.large 	15 Days, 3 Hours and 44 Seconds
arrebol-raonet 	lsd.t1.small 	0 Days, 0 Hours and 0 Seconds
temp 	lsd.t1.small 	6 Days, 14 Hours and 43 Seconds
worker-test-2 	lsd.t1.nano 	0 Days, 4 Hours and 6 Seconds
arrebol-test 	lsd.t1.medium 	4 Days, 20 Hours and 14 Seconds
