Volumes:

Instancias

Name 	 Flavor 	 Time
worker-node 	lsd.t1.small 	0 Days, 0 Hours and 0 Seconds
test 	lsd.t1.nano 	0 Days, 0 Hours and 46 Seconds
test3 	lsd.t1.nano 	0 Days, 0 Hours and 53 Seconds
test3 	lsd.t1.nano 	0 Days, 0 Hours and 32 Seconds
test3 	lsd.t1.nano 	0 Days, 0 Hours and 36 Seconds
test3 	lsd.t1.nano 	0 Days, 0 Hours and 29 Seconds
test3 	lsd.t1.nano 	0 Days, 0 Hours and 32 Seconds
test3 	lsd.t1.nano 	0 Days, 0 Hours and 2 Seconds
test3 	lsd.t1.nano 	0 Days, 0 Hours and 54 Seconds
test3 	lsd.t1.nano 	0 Days, 0 Hours and 19 Seconds
test3 	lsd.t1.nano 	0 Days, 0 Hours and 12 Seconds
